ID,title,year,director,writer,actor
178,Inglourious Basterds,2009,Quentin Tarantino,Quentin Tarantino,Brad Pitt;Mélanie Laurent;Christoph Waltz;Eli Roth
179,22 Jump Street,2014,Phil Lord;Chris Miller,Michael Bacall;Oren Uziel;Rodney Rothman;Jonah Hill,Jonah Hill;Channing Tatum;Dave Franco;Ice Cube
180,Blackhat,2015,Michael Mann,Morgan Davis Foehl,Chris Hemsworth;Leehom Wang;Tang Wei;Viola Davis
181,Mission: Impossible,1996,Brian De Palma,David Koepp;Steven Zaillian;Robert Towne,Tom Cruise;Jon Voight;Emmanuelle Béart;Henry Czerny
182,Nocturna,2015,Buz Alexander,,Mike Doyle;Estella Warren;Massimo Dobrovic;Johnathon Schaech
183,The Theory of Everything,2014,James Marsh,Anthony McCarten;Jane Hawking,Eddie Redmayne;Felicity Jones;Harry Lloyd;David Thewlis
184,Alexandre Astier: L'Exoconférence,2015,Jean-Christophe Hembert,,Alexandre Astier
185,Shrek,2001,Andrew Adamson;Vicky Jenson,William Steig;Ted Elliott;Terry Rossio;Joe Stillman;Roger S.H. Schulman,Mike Myers;Eddie Murphy;Cameron Diaz;John Lithgow
186,2001: A Space Odyssey,1968,Stanley Kubrick,Stanley Kubrick;Arthur C. Clarke,Keir Dullea;Douglas Rain;Gary Lockwood;William Sylvester
187,Gladiator,2000,Ridley Scott,David Franzoni;John Logan;William Nicholson,Russell Crowe;Joaquin Phoenix;Connie Nielsen;Oliver Reed
188,WALL·E,2008,Andrew Stanton,Jim Reardon;Andrew Stanton,Ben Burtt;Elissa Knight;Jeff Garlin;Fred Willard
189,The Gallows,2015,Travis Cluff;Chris Lofing,Travis Cluff;Chris Lofing,Cassidy Gifford;Ryan Shoos;Pfeifer Brown;Reese Mishler
190,The Intouchables,2011,Eric Toledano;Olivier Nakache,Eric Toledano;Olivier Nakache;Philippe Pozzo di Borgo,François Cluzet;Omar Sy;Anne Le Ny;Audrey Fleurot
191,Mission: Impossible – Ghost Protocol,2011,Brad Bird,J.J. Abrams;Josh Appelbaum,Tom Cruise;Jeremy Renner;Simon Pegg;Paula Patton
192,Braveheart,1995,Mel Gibson,Randall Wallace,Mel Gibson;Catherine McCormack;Sophie Marceau;Patrick McGoohan
193,The Lion King,1994,Roger Allers;Rob Minkoff,Linda Woolverton;Jonathan Roberts;Irene Mecchi;Rick Maki,Jonathan Taylor Thomas;Matthew Broderick;James Earl Jones;Jeremy Irons
194,We're the Millers,2013,Rawson Marshall Thurber,Bob Fisher;Steve Faber;Sean Anders;John Morris,Jason Sudeikis;Jennifer Aniston;Will Poulter;Emma Roberts
195,Still Alice,2014,Richard Glatzer;Wash Westmoreland,Lisa Genova;Richard Glatzer;Wash Westmoreland,Julianne Moore;Alec Baldwin;Kristen Stewart;Kate Bosworth
196,St. Vincent,2014,Theodore Melfi,Theodore Melfi,Bill Murray;Melissa McCarthy;Naomi Watts;Chris O'Dowd
197,Unbroken,2014,Angelina Jolie,Ethan Coen;Joel Coen;Richard LaGravenese;William Nicholson,Jack O'Connell;Domhnall Gleeson;Garrett Hedlund;Takamasa Ishihara
198,Pirates of the Caribbean: At World's End,2007,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Orlando Bloom;Keira Knightley;Chow Yun-Fat
199,The Matrix Reloaded,2003,Andy Wachowski;Lana Wachowski,Andy Wachowski;Lana Wachowski,Keanu Reeves;Carrie-Anne Moss;Laurence Fishburne;Helmut Bakaitis
200,V for Vendetta,2006,James McTeigue,Andy Wachowski;Lana Wachowski;David Lloyd;Alan Moore,Natalie Portman;Hugo Weaving;Stephen Rea;Stephen Fry
201,The Fault in Our Stars,2014,Josh Boone,John Green;Scott Neustadter;Michael H. Weber,Shailene Woodley;Ansel Elgort;Nat Wolff;Laura Dern
202,Spider-Man 3,2007,Sam Raimi,Stan Lee;Alvin Sargent;Steve Ditko,Tobey Maguire;Kirsten Dunst;James Franco;Thomas Haden Church
203,RoboCop,2014,José Padilha,Joshua Zetumer,Joel Kinnaman;Gary Oldman;Michael Keaton;Abbie Cornish
204,Ice Age,2002,Chris Wedge;Carlos Saldanha,Michael Berg;Michael J. Wilson;Peter Ackerman,Ray Romano;John Leguizamo;Denis Leary;Goran Višnjić
205,Austin Powers: The Spy Who Shagged Me,1999,Jay Roach,Mike Myers;Michael McCullers,Mike Myers;Heather Graham;Michael York;Robert Wagner
206,The Departed,2006,Martin Scorsese,William Monahan;Alan Mak;Felix Chong,Leonardo DiCaprio;Matt Damon;Jack Nicholson;Mark Wahlberg
207,Vice,2015,Brian A Miller,Andre Fabrizio;Jeremy Passmore,Ambyr Childers;Thomas Jane;Bryan Greenberg;Bruce Willis
208,The Boy Next Door,2015,Rob Cohen,Barbara Curry,Jennifer Lopez;Ryan Guzman;Ian Nelson;John Corbett
209,Taken,2008,Pierre Morel,Luc Besson;Robert Mark Kamen,Liam Neeson;Famke Janssen;Maggie Grace;Katie Cassidy
210,Meiji Tokyo Renka: Yumihari no Serenade,2015,Hiroshi Watanabe;Yukiko Uozumi,,
211,Ocean's Eleven,2001,Steven Soderbergh,George Clayton Johnson;Ted Griffin;Jack Golden Russell,George Clooney;Brad Pitt;Matt Damon;Andy García
212,Forrest Gump,1994,Robert Zemeckis,Winston Groom;Eric Roth,Tom Hanks;Sally Field;Robin Wright;Mykelti Williamson
213,Se7en,1995,David Fincher,Andrew Kevin Walker,Brad Pitt;Morgan Freeman;Gwyneth Paltrow;R. Lee Ermey
214,Heat,1995,Michael Mann,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer;Jon Voight
215,101 Dalmatians,1961,Clyde Geronimi;Hamilton Luske;Wolfgang Reitherman,Dodie Smith;Bill Peet,Rod Taylor;J. Pat O'Malley;Betty Lou Gerson;Martha Wentworth
216,Alice in Wonderland,2010,Tim Burton,Linda Woolverton;Lewis Carroll,Johnny Depp;Anne Hathaway;Helena Bonham Carter;Crispin Glover
217,Horrible Bosses 2,2014,Sean Anders,Sean Anders;John Morris;Jonathan M. Goldstein;John Francis Daley,Jason Bateman;Jason Sudeikis;Charlie Day;Jennifer Aniston
218,Brave,2012,Mark Andrews;Steve Purcell;Brenda Chapman,Mark Andrews;Steve Purcell;Brenda Chapman;Irene Mecchi;Nick Sung,Kelly Macdonald;Julie Walters;Billy Connolly;Emma Thompson
219,Captain America: Civil War,2016,Anthony Russo;Joe Russo,Christopher Markus;Stephen McFeely;Mark Millar,Chris Evans;Robert Downey Jr.;Scarlett Johansson;Sebastian Stan
220,Iron Man 2,2010,Jon Favreau,Justin Theroux,Robert Downey Jr.;Gwyneth Paltrow;Don Cheadle;Scarlett Johansson
221,Finding Nemo,2003,Andrew Stanton;Lee Unkrich,Andrew Stanton;Bob Peterson;David Reynolds,Albert Brooks;Ellen DeGeneres;Alexander Gould;Willem Dafoe
222,Furious 8,2017,,,Dwayne Johnson;Jason Statham;Vin Diesel;Cody Walker
223,Crimson Peak,2015,Guillermo del Toro,Guillermo del Toro;Matthew Robbins,Mia Wasikowska;Jessica Chastain;Tom Hiddleston;Charlie Hunnam
224,Harry Potter and the Chamber of Secrets,2002,Chris Columbus,J. K. Rowling;Steve Kloves,Daniel Radcliffe;Rupert Grint;Emma Watson;Kenneth Branagh
225,The Judge,2014,David Dobkin,Bill Dubuque;Nick Schenk;David Dobkin,Robert Downey Jr.;Robert Duvall;Vera Farmiga;Vincent D'Onofrio
226,Titanic,1997,James Cameron,James Cameron,Kate Winslet;Leonardo DiCaprio;Frances Fisher;Billy Zane
227,Harry Potter and the Order of the Phoenix,2007,David Yates,J. K. Rowling;Michael Goldenberg,Daniel Radcliffe;Rupert Grint;Emma Watson;Michael Gambon
228,The Jungle Book,1967,Wolfgang Reitherman,Rudyard Kipling;Larry Clemmons;Ralph Wright	;Ken Anderson;Vance Gerry;Bill Peet,Phil Harris;Sebastian Cabot;Louis Prima;George Sanders
229,Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,Ted Elliott;Terry Rossio,Johnny Depp;Orlando Bloom;Keira Knightley;Bill Nighy
230,Pulp Fiction,1994,Quentin Tarantino,Quentin Tarantino;Roger Avary,John Travolta;Samuel L. Jackson;Uma Thurman;Bruce Willis
231,Outcast,2014,Nick Powell,James Dormer,Nicolas Cage;Hayden Christensen;Liu Yifei;Andy On
232,Man of Steel,2013,Zack Snyder,David S. Goyer;Christopher Nolan,Henry Cavill;Amy Adams;Michael Shannon;Diane Lane
233,Saving Private Ryan,1998,Steven Spielberg,Robert Rodat,Tom Hanks;Tom Sizemore;Dennis Farina;Max Martini
234,Independence Day,1996,Roland Emmerich,Dean Devlin;Roland Emmerich,Will Smith;Bill Pullman;Jeff Goldblum;Mary McDonnell
235,2 Guns,2013,Baltasar Kormákur,Steven Grant;Blake Masters,Denzel Washington;Mark Wahlberg;Paula Patton;Bill Paxton
236,2012,2009,Roland Emmerich,Roland Emmerich;Harald Kloser,John Cusack;Amanda Peet;Chiwetel Ejiofor;Thandie Newton
237,Man & Wife: An Educational Film for Married Adults,1969,Matt Cimber,,Andreas Kranich;Birgit Müller;Rosanna Romana
238,Hercules,2014,Brett Ratner,Ryan Condal;Evan Spiliotopoulos,Dwayne Johnson;Ian McShane;John Hurt;Rufus Sewell
239,Blunt Force Trauma,2015,Ken Sanzel,Ken Sanzel,Mickey Rourke;Freida Pinto;Ryan Kwanten;Maruia Shelton
240,Charlie and the Chocolate Factory,2005,Tim Burton,Roald Dahl;John August,Johnny Depp;Freddie Highmore;AnnaSophia Robb;Julia Winter
241,People Hold On,2015,Michael Seater,,
242,A Bug's Life,1998,John Lasseter;Andrew Stanton,Andrew Stanton;Don McEnery;Bob Shaw;John Lasseter;Joe Ranft,Kevin Spacey;Julia Louis-Dreyfus;Hayden Panettiere;Phyllis Diller
243,Lara Croft: Tomb Raider,2001,Simon West,Patrick Massett;John Zinman,Angelina Jolie;Jon Voight;Iain Glen;Noah Taylor
244,Prisoners,2013,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman;Jake Gyllenhaal;Paul Dano;Maria Bello
245,Masterminds,2015,Jared Hess,Chris Bowman;Hubbel Palmer;Emily Spivey,Kristen Wiig;Owen Wilson;Jason Sudeikis;Zach Galifianakis
246,Star Trek,2009,J.J. Abrams,Roberto Orci;Alex Kurtzman,Chris Pine;Zachary Quinto;Leonard Nimoy;Eric Bana
247,Aladdin,1992,Ron Clements;John Musker,Ted Elliott;Terry Rossio;Ron Clements;John Jusker,Scott Weinger;Robin Williams;Linda Larkin;Jonathan Freeman
248,Riddick,2013,David Twohy,David Twohy,Vin Diesel;Karl Urban;Katee Sackhoff;Jordi Mollà
249,Beyond the Reach,2015,Jean-Baptiste Léonetti,Stephen Susco;Robb White,Michael Douglas;Jeremy Irvine;Hanna Mangan Lawrence;Ronny Cox
250,Wreck-It Ralph,2012,Rich Moore,Jennifer Lee;Phil Johnston,John C. Reilly;Sarah Silverman;Jane Lynch;Jack McBrayer
251,Man Up,2015,Ben Palmer,Tess Morris,Simon Pegg;Lake Bell;Olivia Williams;Ophelia Lovibond
252,Spirited Away,2001,Hayao Miyazaki,Hayao Miyazaki,Rumi Hiiragi;Miyu Irino;Mari Natsuki;Takashi Naitô
253,Tinker Bell and the Legend of the NeverBeast,2015,Steve Loter,Tom Rogers;Steve Loter,Mae Whitman;Ginnifer Goodwin;Lucy Liu;Raven-Symoné
254,The Aristocats,1970,Wolfgang Reitherman,Larry Clemmons;Vance Gerry;Ken Anderson;Frank Thomas;Eric Cleworth;Julius Svendsen;Ralph Wright	,Phil Harris;Sterling Holloway;Scatman Crothers;Eva Gabor
255,Turbo Kid,2015,François Simard;Anouk Whissell;Yoann-Karl Whissell,François Simard;Anouk Whissell;Yoann-Karl Whissell,Munro Chambers;Laurence Leboeuf;Michael Ironside;Aaron Jeffery
256,300,2006,Zack Snyder,Frank Miller;Zack Snyder;Kurt Johnstad;Michael B. Gordon;Lynn Varley,Gerard Butler;Lena Headey;Dominic West;David Wenham
257,Hidden,2015,Matt Duffer;Ross Duffer,Matt Duffer;Ross Duffer,Alexander Skarsgård;Andrea Riseborough;Emily Alyn Lind;Heather Doerksen
258,Gravity,2013,Alfonso Cuarón,Alfonso Cuarón;Jonás Cuarón,Sandra Bullock;George Clooney;Ed Harris;Orto Ignatiussen
259,The Other Woman,2014,Nick Cassavetes,Melissa Stack,Cameron Diaz;Leslie Mann;Kate Upton;Don Johnson
260,The Incredibles,2004,Brad Bird,Brad Bird,Craig T. Nelson;Holly Hunter;Samuel L. Jackson;Jason Lee
261,12 Years a Slave,2013,Steve McQueen,John Ridley;Solomon Northup,Chiwetel Ejiofor;Michael Fassbender;Benedict Cumberbatch;Paul Dano
262,The Prestige,2006,Christopher Nolan,Jonathan Nolan;Christopher Nolan;Christopher Priest,Hugh Jackman;Christian Bale;Michael Caine;Scarlett Johansson
263,The Age of Adaline,2015,Lee Toland Krieger,J. Mills Goodloe;Salvador Paskowitz,Blake Lively;Michiel Huisman;Harrison Ford;Ellen Burstyn
264,The Purge: Anarchy,2014,James DeMonaco,James DeMonaco,Frank Grillo;Carmen Ejogo;Zach Gilford;Kiele Sanchez
265,300: Rise of an Empire,2014,Noam Murro,Kurt Johnstad;Frank Miller;Zack Snyder,Sullivan Stapleton;Eva Green;Lena Headey;Callan Mulvey
266,Limitless,2011,Neil Burger,Alan Glynn;Leslie Dixon,Bradley Cooper;Robert De Niro;Abbie Cornish;Andrew Howard
267,Superman,1978,Richard Donner,Mario Puzo;Leslie Newman;Robert Benton;David Newman;Tom Mankiewicz,Marlon Brando;Gene Hackman;Christopher Reeve;Ned Beatty
268,Elysium,2013,Neill Blomkamp,Neill Blomkamp,Matt Damon;Jodie Foster;Adam S. Gottbetter;Sharlto Copley
269,The Babadook,2014,Jennifer Kent,Jennifer Kent,Essie Davis;Noah Wiseman;Daniel Henshall;Tim Purcell
270,The Gift,2015,Joel Edgerton,Joel Edgerton,Jason Bateman;Rebecca Hall;Joel Edgerton;David Denman
271,The Little Mermaid,1989,Ron Clements;John Musker,Roger Allers;Hans Christian Andersen;Ron Clements;John Musker,Rene Auberjonois;Christopher Daniel Barnes;Jodi Benson;Pat Carroll
272,Fight Club,1999,David Fincher,Jim Uhls;Chuck Palahniuk,Edward Norton;Brad Pitt;Helena Bonham Carter;Meat Loaf
273,Er ist wieder da,2015,David Wnendt,Timur Vermes,Oliver Masucci;Christoph Maria Herbst;Fabian Busch;Katja Riemann
274,Cinderella,1950,Clyde Geronimi;Wilfred Jackson;Hamilton Luske,Charles Perrault;Bill Peet;Erdman Penner;Ted Sears;Winston Hibler;Homer Brightman;Harry Reeves;Ken Anderson;Joe Rinaldi,Ilene Woods;Eleanor Audley;Verna Felton;Rhoda Williams
275,Evil Dead,2013,Fede Alvarez,Rodo Sayagues Mendez;Fede Alvarez,Jane Levy;Jessica Lucas;Shiloh Fernandez;Lou Taylor Pucci
276,Sherlock Holmes,2009,Guy Ritchie,Anthony Peckham;Simon Kinberg;Michael Robert Johnson,Robert Downey Jr.;Jude Law;Rachel McAdams;Mark Strong
277,Prometheus,2012,Ridley Scott,Jon Spaihts;Damon Lindelof,Noomi Rapace;Michael Fassbender;Charlize Theron;Idris Elba
278,Insidious,2010,James Wan,Leigh Whannell,Patrick Wilson;Rose Byrne;Barbara Hershey;Leigh Whannell
279,Ouija,2014,Stiles White,Juliet Snowden;Stiles White,Olivia Cooke;Ana Coto;Daren Kagasoff;Douglas Smith
280,12 Angry Men,1957,Sidney Lumet,Reginald Rose,Henry Fonda;Lee J. Cobb;Ed Begley;E.G. Marshall
281,A Nightmare on Elm Street,1984,Wes Craven,Wes Craven,Robert Englund;Heather Langenkamp;Johnny Depp;Ronee Blakley
282,The Expendables,2010,Sylvester Stallone,Dave Callaham;Sylvester Stallone,Sylvester Stallone;Jason Statham;Dolph Lundgren;Eric Roberts
283,Me and Earl and the Dying Girl,2015,Alfonso Gomez-Rejon,Jesse Andrews,Thomas Mann;RJ Cyler;Olivia Cooke;Connie Britton
285,Predestination,2014,Michael Spierig;Peter Spierig,Michael Spierig;Peter Spierig;Robert A. Heinlein,Ethan Hawke;Sarah Snook;Noah Taylor;Christopher Kirby
286,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,J. K. Rowling;Steve Kloves,Daniel Radcliffe;Rupert Grint;Emma Watson;Gary Oldman
287,The Hangover,2009,Todd Phillips,Jon Lucas;Scott Moore,Bradley Cooper;Ed Helms;Zach Galifianakis;Justin Bartha
288,Shutter Island,2010,Martin Scorsese,Dennis Lehane;Laeta Kalogridis,Leonardo DiCaprio;Mark Ruffalo;Ben Kingsley;Emily Mortimer
289,Beauty and the Beast,1991,Gary Trousdale;Kirk Wise,Linda Woolverton;Roger Allers;Kelly Asbury;Brenda Chapman;Burny Mattinson;Brian Pimental;Joe Ranft;Chris Sanders;Kevin Harkey;Bruce Woodside;Tom Ellery;Robert Lence,Paige O'Hara;Robby Benson;Richard White;Jerry Orbach
290,Bolt,2008,Chris Williams;Byron Howard,Dan Fogelman;Chris Williams;Byron Howard;Jared Stern,John Travolta;Miley Cyrus;Susie Essman;Mark Walton
291,Corpse Bride,2005,Tim Burton;Mike Johnson,John August;Caroline Thompson;Pamela Pettler,Johnny Depp;Helena Bonham Carter;Emily Watson;Tracey Ullman
292,The Godfather,1972,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola,Marlon Brando;Al Pacino;James Caan;Richard S. Castellano
293,Unfriended,2014,Levan Gabriadze,Nelson Greaves,Shelley Hennig;Moses Jacob Storm;Renee Olstead;William Peltz
294,Harry Potter and the Half-Blood Prince,2009,David Yates,Steve Kloves;J. K. Rowling,Daniel Radcliffe;Rupert Grint;Emma Watson;Tom Felton
295,Begin Again,2014,John Carney,John Carney,Mark Ruffalo;Keira Knightley;Adam Levine;Hailee Steinfeld
296,Thor: Ragnarok,2017,,Craig Kyle;Christopher Yost,Chris Hemsworth;Tom Hiddleston;Natalie Portman;Jaimie Alexander
297,Die Hard,1988,John McTiernan,Roderick Thorp;Jeb Stuart;Steven E. de Souza,Bruce Willis;Alan Rickman;Reginald VelJohnson;Bonnie Bedelia
298,The Incredible Hulk,2008,Louis Leterrier,Zak Penn,Edward Norton;Liv Tyler;Tim Roth;William Hurt
299,Pride & Prejudice,2005,Joe Wright,Jane Austen;Deborah Moggach,Keira Knightley;Matthew Macfadyen;Rosamund Pike;Simon Woods
300,White House Down,2013,Roland Emmerich,James Vanderbilt,Channing Tatum;Jamie Foxx;Joey King;Maggie Gyllenhaal
301,Little Fockers,2010,Paul Weitz,John Hamburg;Larry Stuckey,Robert De Niro;Ben Stiller;Owen Wilson;Dustin Hoffman
302,Klown Forever,2015,Mikkel Nørgaard,Casper Christensen;Frank Hvam,Casper Christensen;Frank Hvam;Mia Lyhne;Carlos Antonio
303,Cars,2006,John Lasseter;Joe Ranft,Dan Fogelman;Joe Ranft;John Lasseter;Jorgen Klubien;Kiel Murray;Phil Lorin,Owen Wilson;Paul Newman;Bonnie Hunt;Larry the Cable Guy
304,Spring Breakers,2012,Harmony Korine,Harmony Korine,James Franco;Selena Gomez;Vanessa Hudgens;Ashley Benson
306,The Twilight Saga: Breaking Dawn - Part 1,2011,Bill Condon,Melissa Rosenberg;Stephenie Meyer,Kristen Stewart;Robert Pattinson;Taylor Lautner;Ashley Greene
307,The Mask,1994,Chuck Russell,Mike Werb,Jim Carrey;Cameron Diaz;Nancy Fish;Tim Bagley
308,Escape Plan,2013,Mikael Håfström,Miles Chapman;Jason Keller,Sylvester Stallone;Arnold Schwarzenegger;Jim Caviezel;Vinnie Jones
309,Descendants,2015,Kenny Ortega,,Booboo Stewart;Dove Cameron;Keegan Connor Tracy;Stephanie Bennett
310,Madagascar,2005,Eric Darnell;Tom McGrath,Mark Burton;Billy Frolick;Eric Darnell;Tom McGrath,Ben Stiller;Chris Rock;David Schwimmer;Jada Pinkett Smith
311,Harry Potter and the Goblet of Fire,2005,Mike Newell,Steve Kloves;J. K. Rowling,Daniel Radcliffe;Rupert Grint;Emma Watson;Ralph Fiennes
312,Aliens,1986,James Cameron,James Cameron,Sigourney Weaver;Carrie Henn;Michael Biehn;Lance Henriksen
313,Cake,2014,Daniel Barnz,Patrick Tobin,Jennifer Aniston;Anna Kendrick;William H. Macy;Adriana Barraza
314,Hitman: Agent 47,2015,Aleksander Bach,Skip Woods;Michael Finch;Kyle Ward,Rupert Friend;Zachary Quinto;Hannah Ware;Emilio Rivera
315,Zombieland,2009,Ruben Fleischer,Rhett Reese;Paul Wernick,Woody Harrelson;Jesse Eisenberg;Emma Stone;Abigail Breslin
316,Grown Ups 2,2013,Dennis Dugan,Adam Sandler;Tim Herlihy;Fred Wolf,Adam Sandler;Kevin James;Chris Rock;David Spade
317,American Pie,1999,Paul Weitz;Chris Weitz,Adam Herz,Jason Biggs;Chris Klein;Thomas Ian Nicholas;Alyson Hannigan
318,Just Let Go,2015,Patrick Henry Parker;Christopher S. Clark,Christopher S. Clark;Patrick Henry Parker;Vance Mellen,Henry Ian Cusick;Brenda Vaccaro;Sam Sorbo;Jacob Buster
319,Alien³,1992,David Fincher,David Giler;Walter Hill;Larry Ferguson,Sigourney Weaver;Charles S. Dutton;Charles Dance;Pete Postlethwaite
320,Snatch,2000,Guy Ritchie,Guy Ritchie,Jason Statham;Brad Pitt;Stephen Graham;Vinnie Jones
321,Van Helsing,2004,Stephen Sommers,Stephen Sommers,Hugh Jackman;Kate Beckinsale;Richard Roxburgh;Josie Maran
322,Dr. No,1962,Terence Young,Ian Fleming;Richard Maibaum;Johanna Harwood;Berkely Mather,Sean Connery;Ursula Andress;Joseph Wiseman;Jack Lord
323,Tangled,2010,Nathan Greno;Byron Howard,Wilhelm Grimm;Jacob Grimm,Mandy Moore;Zachary Levi;Donna Murphy;Ron Perlman
324,Grown Ups,2010,Dennis Dugan,Adam Sandler;Fred Wolf,Adam Sandler;Salma Hayek;Maria Bello;Steve Buscemi
325,Face/Off,1997,John Woo,Mike Werb;Michael Colleary,John Travolta;Nicolas Cage;Joan Allen;Dominique Swain
327,Project Almanac,2015,Dean Israelite,Jason Pagan;Andrew Stark,Jonny Weston;Virginia Gardner;Sofia Black-D'Elia;Sam Lerner
328,Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,Arthur Conan Doyle;Kieran Mulroney;Michele Mulroney,Robert Downey Jr.;Jude Law;Jared Harris;Noomi Rapace
329,Men in Black,1997,Barry Sonnenfeld,Ed Solomon;Lowell Cunningham,Tommy Lee Jones;Will Smith;Linda Fiorentino;Vincent D'Onofrio
330,Blended,2014,Frank Coraci,Ivan Menchell;Clare Sera,Drew Barrymore;Adam Sandler;Wendi McLendon-Covey;Bella Thorne
331,Vacation,2015,John Francis Daley;Jonathan M. Goldstein,John Francis Daley;Jonathan M. Goldstein,Ed Helms;Leslie Mann;Chris Hemsworth;Christina Applegate
332,Ocean's Thirteen,2007,Steven Soderbergh,Brian Koppelman;David Levien,George Clooney;Brad Pitt;Matt Damon;Al Pacino
333,Ville-Marie,2015,Guy Édoin,Guy Édoin;Jean-Simon DesRochers,Monica Bellucci;Pascale Bussières;Aliocha Schneider;Patrick Hivon
334,Mission: Impossible II,2000,John Woo,Robert Towne;Ronald D. Moore;Brannon Braga,Tom Cruise;Dougray Scott;Thandie Newton;Ving Rhames
335,Inherent Vice,2014,Paul Thomas Anderson,Thomas Pynchon;Paul Thomas Anderson,Joaquin Phoenix;Josh Brolin;Owen Wilson;Katherine Waterston
336,Memento,2000,Christopher Nolan,Christopher Nolan;Jonathan Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mark Boone Junior
337,Toy Story 3,2010,Lee Unkrich,Michael Arndt,Tom Hanks;Tim Allen;Ned Beatty;Joan Cusack
338,The Simpsons Movie,2007,David Silverman,Matt Groening;James L. Brooks;Sam Simon;Al Jean;Ian Maxtone-Graham;George Meyer;David Mirkin;Mike Reiss;Mike Scully;Matt Selman;John Swartzwelder;Jon Vitti;Joel H. Cohen;John Frink;Tim Long;Michael Price,Dan Castellaneta;Julie Kavner;Nancy Cartwright;Yeardley Smith
339,The Cabin in the Woods,2012,Drew Goddard,Drew Goddard;Joss Whedon,Kristen Connolly;Chris Hemsworth;Anna Hutchison;Fran Kranz
340,Insidious: Chapter 2,2013,James Wan,Leigh Whannell;James Wan,Patrick Wilson;Rose Byrne;Ty Simpkins;Lin Shaye
341,Ted,2012,Seth MacFarlane,Seth MacFarlane;Alec Sulkin;Wellesley Wild,Mark Wahlberg;Mila Kunis;Seth MacFarlane;Joel McHale
342,Real Steel,2011,Shawn Levy,Leslie Bohem;John Gatins;Richard Matheson;Dan Gilroy;Jeremy Leven,Hugh Jackman;Dakota Goyo;Evangeline Lilly;Anthony Mackie
343,Barely Lethal,2015,Kyle Newman,John D'Arco,Jessica Alba;Hailee Steinfeld;Sophie Turner;Samuel L. Jackson
344,Dark Shadows,2012,Tim Burton,Seth Grahame-Smith;John August,Johnny Depp;Michelle Pfeiffer;Helena Bonham Carter;Jackie Earle Haley
