ID,title,year,director,writer,actor
000209, Joy(I), 2015, David O. Russell, David O. Russell; Annie Mumolo, Jennifer Lawrence; Robert De Niro; Bradley Cooper
000210, Teenage Mutant Ninja Turtles, 2014, Jonathan Liebesman, Josh Appelbaum; André Nemec, Megan Fox; Will Arnett; William Fichtner
000211, American Beauty, 1999, Sam Mendes, Alan Ball, Kevin Spacey; Annette Bening; Thora Birch
000212, Love &amp; Mercy, 2014, Bill Pohlad, Oren Moverman; Michael A. Lerner, John Cusack; Paul Dano; Elizabeth Banks
000213, Iron Man 3, 2013, Shane Black, Drew Pearce; Shane Black, Robert Downey Jr.; Guy Pearce; Gwyneth Paltrow
000214, Star Wars: Episode I - The Phantom Menace, 1999, George Lucas, George Lucas, Ewan McGregor; Liam Neeson; Natalie Portman
000215, Dark Places, 2015, Gilles Paquet-Brenner, Gillian Flynn; Gilles Paquet-Brenner, Charlize Theron; Nicholas Hoult; Christina Hendricks
000216, The Grand Budapest Hotel, 2014, Wes Anderson, Stefan Zweig; Wes Anderson, Ralph Fiennes; F. Murray Abraham; Mathieu Amalric
000217, Harry Potter and the Deathly Hallows: Part 2, 2011, David Yates, Steve Kloves; J.K. Rowling, Daniel Radcliffe; Emma Watson; Rupert Grint
000218, Goodfellas, 1990, Martin Scorsese, Nicholas Pileggi; Nicholas Pileggi, Robert De Niro; Ray Liotta; Joe Pesci
000219, Jurassic Park, 1993, Steven Spielberg, Michael Crichton; Michael Crichton, Sam Neill; Laura Dern; Jeff Goldblum
000220, Paranormal Activity: The Ghost Dimension, 2015, Gregory Plotkin, Jason Pagan; Andrew Deutschman, Chris J. Murray; Brit Shaw; Ivy George
000221, Nightcrawler, 2014, Dan Gilroy, Dan Gilroy, Jake Gyllenhaal; Rene Russo; Bill Paxton
000222, Pirates of the Caribbean: Dead Men Tell No Tales, 2017, Joachim Rønning; Espen Sandberg, Stuart Beattie; Ted Elliott, Johnny Depp; Kaya Scodelario; Orlando Bloom
000223, Grown Ups 2, 2013, Dennis Dugan, Fred Wolf; Adam Sandler, Adam Sandler; Kevin James; Chris Rock
000224, 300, 2006, Zack Snyder, Zack Snyder; Kurt Johnstad, Gerard Butler; Lena Headey; David Wenham
000225, A Nightmare on Elm Street, 2010, Samuel Bayer, Wesley Strick; Eric Heisserer, Jackie Earle Haley; Rooney Mara; Kyle Gallner
000226, Alien, 1979, Ridley Scott, Dan O'Bannon; Ronald Shusett, Sigourney Weaver; Tom Skerritt; John Hurt
000227, Psycho, 1960, Alfred Hitchcock, Joseph Stefano; Robert Bloch, Anthony Perkins; Janet Leigh; Vera Miles
000228, Avatar, 2009, James Cameron, James Cameron, Sam Worthington; Zoe Saldana; Sigourney Weaver
000229, The Fault in Our Stars, 2014, Josh Boone, Scott Neustadter; Michael H. Weber, Shailene Woodley; Ansel Elgort; Nat Wolff
000230, Night at the Museum: Secret of the Tomb, 2014, Shawn Levy, David Guion; Michael Handelman, Ben Stiller; Robin Williams; Owen Wilson
000231, The Help, 2011, Tate Taylor, Tate Taylor; Kathryn Stockett, Emma Stone; Viola Davis; Octavia Spencer
000232, The Silence of the Lambs, 1991, Jonathan Demme, Thomas Harris; Ted Tally, Jodie Foster; Anthony Hopkins; Lawrence A. Bonney
000233, Her, 2013, Spike Jonze, Spike Jonze, Joaquin Phoenix; Amy Adams; Scarlett Johansson
000234, Skyfall, 2012, Sam Mendes, Neal Purvis; Robert Wade, Daniel Craig; Javier Bardem; Naomie Harris
000235, Friday the 13th, 2009, Marcus Nispel, Damian Shannon; Mark Swift, Jared Padalecki; Amanda Righetti; Derek Mears
000236, Chappie, 2015, Neill Blomkamp, Neill Blomkamp; Terri Tatchell, Sharlto Copley; Dev Patel; Hugh Jackman
000237, Mad Max 2: The Road Warrior, 1981, George Miller, Terry Hayes; George Miller, Mel Gibson; Bruce Spence; Michael Preston
000238, Beasts of No Nation, 2015, Cary Joji Fukunaga, Cary Joji Fukunaga; Uzodinma Iweala, Abraham Attah; Emmanuel Affadzi; Ricky Adelayitor
000239, A Nightmare on Elm Street, 1984, Wes Craven, Wes Craven, Heather Langenkamp; Johnny Depp; Robert Englund
000240, Jem and the Holograms, 2015, Jon M. Chu, Ryan Landels, Ryan Guzman; Molly Ringwald; Stefanie Scott
000241, Room(I), 2015, Lenny Abrahamson, Emma Donoghue; Emma Donoghue, Brie Larson; Jacob Tremblay; Sean Bridgers
000242, Star Trek Into Darkness, 2013, J.J. Abrams, Roberto Orci; Alex Kurtzman, Chris Pine; Zachary Quinto; Zoe Saldana
000243, Pride &amp; Prejudice, 2005, Joe Wright, Jane Austen; Deborah Moggach, Keira Knightley; Matthew Macfadyen; Brenda Blethyn
000244, Warrior, 2011, Gavin O'Connor, Gavin O'Connor; Anthony Tambakis, Tom Hardy; Nick Nolte; Joel Edgerton
000245, A Christmas Horror Story, 2015, Grant Harvey; Steven Hoban, James Kee; Sarah Larsen, George Buza; Percy Hynes White; Oluniké Adeliyi
000246, The Prestige, 2006, Christopher Nolan, Jonathan Nolan; Christopher Nolan, Christian Bale; Hugh Jackman; Scarlett Johansson
000247, The DUFF, 2015, Ari Sandel, Josh A. Cagan; Kody Keplinger, Mae Whitman; Bella Thorne; Robbie Amell
000248, The Hobbit: The Battle of the Five Armies, 2014, Peter Jackson, Fran Walsh; Philippa Boyens, Ian McKellen; Martin Freeman; Richard Armitage
000249, Singh Is Bliing, 2015, Prabhudheva, Chintan Gandhi, Akshay Kumar; Amy Jackson; Prabhudheva
000250, Grandma, 2015, Paul Weitz, Paul Weitz, Lily Tomlin; Julia Garner; Marcia Gay Harden
000251, Schindler's List, 1993, Steven Spielberg, Thomas Keneally; Steven Zaillian, Liam Neeson; Ralph Fiennes; Ben Kingsley
000252, Gladiator, 2000, Ridley Scott, David Franzoni; David Franzoni, Russell Crowe; Joaquin Phoenix; Connie Nielsen
000253, Bridesmaids(I), 2011, Paul Feig, Kristen Wiig; Annie Mumolo, Kristen Wiig; Maya Rudolph; Rose Byrne
000254, Snatch., 2000, Guy Ritchie, Guy Ritchie, Jason Statham; Brad Pitt; Benicio Del Toro
000255, The Babadook, 2014, Jennifer Kent, Jennifer Kent, Essie Davis; Noah Wiseman; Daniel Henshall
000256, Cast Away, 2000, Robert Zemeckis, William Broyles Jr., Tom Hanks; Helen Hunt; Paul Sanchez
000257, Twilight(I), 2008, Catherine Hardwicke, Melissa Rosenberg; Stephenie Meyer, Kristen Stewart; Robert Pattinson; Billy Burke
000258, The Breakfast Club, 1985, John Hughes, John Hughes, Emilio Estevez; Judd Nelson; Molly Ringwald
000259, Amnesiac, 2015, Michael Polish, Amy Kolquist; Mike Le, Kate Bosworth; Wes Bentley; Olivia Rose Keegan
000260, Irrational Man, 2015, Woody Allen, Woody Allen, Joaquin Phoenix; Emma Stone; Parker Posey
000261, Star Trek Beyond, 2016, Justin Lin, Doug Jung; Simon Pegg, Zoe Saldana; Idris Elba; Simon Pegg
000262, If I Stay, 2014, R.J. Cutler, Shauna Cross; Gayle Forman, Chloë Grace Moretz; Mireille Enos; Jamie Blackley
000263, Captain America: The First Avenger, 2011, Joe Johnston, Christopher Markus; Stephen McFeely, Chris Evans; Hugo Weaving; Samuel L. Jackson
000264, The Expendables 3, 2014, Patrick Hughes, Sylvester Stallone; Creighton Rothenberger, Sylvester Stallone; Jason Statham; Jet Li
000265, I Spit on Your Grave, 2010, Steven R. Monroe, Adam Rockoff; Meir Zarchi, Sarah Butler; Jeff Branson; Andrew Howard
000266, Maleficent, 2014, Robert Stromberg, Linda Woolverton; Charles Perrault, Angelina Jolie; Elle Fanning; Sharlto Copley
000267, Zipper, 2015, Mora Stephens, Mora Stephens; Mora Stephens, Patrick Wilson; Lena Headey; Ray Winstone
000268, Blade Runner, 1982, Ridley Scott, Hampton Fancher; David Webb Peoples, Harrison Ford; Rutger Hauer; Sean Young
000269, Mean Girls, 2004, Mark Waters, Rosalind Wiseman; Tina Fey, Lindsay Lohan; Jonathan Bennett; Rachel McAdams
000270, A Clockwork Orange, 1971, Stanley Kubrick, Stanley Kubrick; Anthony Burgess, Malcolm McDowell; Patrick Magee; Michael Bates
000271, The Lobster, 2015, Yorgos Lanthimos, Yorgos Lanthimos; Efthymis Filippou, Jacqueline Abrahams; Roger Ashton-Griffiths; Jessica Barden
000272, Se7en, 1995, David Fincher, Andrew Kevin Walker, Morgan Freeman; Brad Pitt; Kevin Spacey
000273, Youth(I), 2015, Paolo Sorrentino, Paolo Sorrentino, Michael Caine; Harvey Keitel; Rachel Weisz
000274, The Patriot, 2000, Roland Emmerich, Robert Rodat, Mel Gibson; Heath Ledger; Joely Richardson
000275, Minority Report, 2002, Steven Spielberg, Philip K. Dick; Scott Frank, Tom Cruise; Colin Farrell; Samantha Morton
000276, The Mortal Instruments: City of Bones, 2013, Harald Zwart, Jessica Postigo; Cassandra Clare, Lily Collins; Jamie Campbell Bower; Robert Sheehan
000277, Casino Royale, 2006, Martin Campbell, Neal Purvis; Robert Wade, Daniel Craig; Eva Green; Judi Dench
000278, American Pie, 1999, Paul Weitz; Chris Weitz, Adam Herz, Jason Biggs; Chris Klein; Thomas Ian Nicholas
000279, The Big Lebowski, 1998, Joel Coen; Ethan Coen, Ethan Coen; Joel Coen, Jeff Bridges; John Goodman; Julianne Moore
000280, Terminator 2: Judgment Day, 1991, James Cameron, James Cameron; William Wisher Jr., Arnold Schwarzenegger; Linda Hamilton; Edward Furlong
000281, Armageddon, 1998, Michael Bay, Jonathan Hensleigh; J.J. Abrams, Bruce Willis; Billy Bob Thornton; Ben Affleck
000282, Transformers: Age of Extinction, 2014, Michael Bay, Ehren Kruger, Mark Wahlberg; Nicola Peltz; Jack Reynor
000283, Wildlike, 2014, Frank Hall Green, Frank Hall Green, Ella Purnell; Bruce Greenwood; Brian Geraghty
000284, Get Hard, 2015, Etan Cohen, Jay Martel; Ian Roberts, Will Ferrell; Kevin Hart; Alison Brie
000285, Moonrise Kingdom, 2012, Wes Anderson, Wes Anderson; Roman Coppola, Jared Gilman; Kara Hayward; Bruce Willis
000286, The Nightmare Before Christmas, 1993, Henry Selick, Tim Burton; Michael McDowell, Danny Elfman; Chris Sarandon; Catherine O'Hara
000287, Sleeping with Other People, 2015, Leslye Headland, Leslye Headland, Jason Sudeikis; Alison Brie; Jordan Carlos
000288, The Usual Suspects, 1995, Bryan Singer, Christopher McQuarrie, Kevin Spacey; Gabriel Byrne; Chazz Palminteri
000289, Office Space, 1999, Mike Judge, Mike Judge; Mike Judge, Ron Livingston; Jennifer Aniston; David Herman
000290, Magic Mike, 2012, Steven Soderbergh, Reid Carolin, Channing Tatum; Alex Pettyfer; Olivia Munn
000291, Beetlejuice, 1988, Tim Burton, Michael McDowell; Larry Wilson, Alec Baldwin; Geena Davis; Michael Keaton
000292, Sleepy Hollow, 1999, Tim Burton, Washington Irving; Kevin Yagher, Johnny Depp; Christina Ricci; Miranda Richardson
000293, Kung Fu Panda 3, 2016, Alessandro Carloni; Jennifer Yuh, Jonathan Aibel; Glenn Berger, Jack Black; Angelina Jolie; Dustin Hoffman
000294, Snowpiercer, 2013, Joon-ho Bong, Joon-ho Bong; Kelly Masterson, Chris Evans; Jamie Bell; Tilda Swinton
000295, The Lion King, 1994, Roger Allers; Rob Minkoff, Irene Mecchi; Jonathan Roberts, Matthew Broderick; Jeremy Irons; James Earl Jones
000296, The Cabin in the Woods, 2012, Drew Goddard, Joss Whedon; Drew Goddard, Kristen Connolly; Chris Hemsworth; Anna Hutchison
000297, The Witch, 2015, Robert Eggers, Robert Eggers, Anya Taylor-Joy; Ralph Ineson; Kate Dickie
000298, Furious 8, 2017, F. Gary Gray, Gary Scott Thompson, Dwayne Johnson; Vin Diesel; Jason Statham
000299, Good Will Hunting, 1997, Gus Van Sant, Matt Damon; Ben Affleck, Robin Williams; Matt Damon; Ben Affleck
000300, The Divergent Series: Allegiant, 2016, Robert Schwentke, Noah Oppenheim; Veronica Roth, Shailene Woodley; Naomi Watts; Zoë Kravitz
000301, No Country for Old Men, 2007, Ethan Coen; Joel Coen, Joel Coen; Ethan Coen, Tommy Lee Jones; Javier Bardem; Josh Brolin
000302, Boogie Nights, 1997, Paul Thomas Anderson, Paul Thomas Anderson, Mark Wahlberg; Julianne Moore; Burt Reynolds
000303, Troy, 2004, Wolfgang Petersen, Homer; David Benioff, Brad Pitt; Eric Bana; Orlando Bloom
000304, Victor Frankenstein, 2015, Paul McGuigan, Max Landis; Max Landis, Daniel Radcliffe; James McAvoy; Jessica Brown Findlay
000305, The Girl with the Dragon Tattoo, 2011, David Fincher, Steven Zaillian; Stieg Larsson, Daniel Craig; Rooney Mara; Christopher Plummer
000306, Planet of the Apes, 2001, Tim Burton, Pierre Boulle; William Broyles Jr., Mark Wahlberg; Helena Bonham Carter; Tim Roth
000307, The Incredibles, 2004, Brad Bird, Brad Bird, Craig T. Nelson; Samuel L. Jackson; Holly Hunter
000308, The Conjuring, 2013, James Wan, Chad Hayes; Carey Hayes, Patrick Wilson; Vera Farmiga; Ron Livingston
000309, The Wedding Ringer, 2015, Jeremy Garelick, Jeremy Garelick; Jay Lavender, Kevin Hart; Josh Gad; Kaley Cuoco
000310, Il racconto dei racconti, 2015, Matteo Garrone, Giambattista Basile; Edoardo Albinati, Salma Hayek; Vincent Cassel; Toby Jones
000311, Léon: The Professional, 1994, Luc Besson, Luc Besson, Jean Reno; Gary Oldman; Natalie Portman
000312, American History X, 1998, Tony Kaye, David McKenna, Edward Norton; Edward Furlong; Beverly D'Angelo
000313, The Outsiders, 1983, Francis Ford Coppola, Kathleen Rowell; S.E. Hinton, C. Thomas Howell; Matt Dillon; Ralph Macchio
000314, Pirates of the Caribbean: The Curse of the Black Pearl, 2003, Gore Verbinski, Ted Elliott; Terry Rossio, Johnny Depp; Geoffrey Rush; Orlando Bloom
000315, Wet Hot American Summer, 2001, David Wain, Michael Showalter; David Wain, Janeane Garofalo; David Hyde Pierce; Michael Showalter
000316, Pirates of the Caribbean: On Stranger Tides, 2011, Rob Marshall, Ted Elliott; Terry Rossio, Johnny Depp; Penélope Cruz; Ian McShane
000317, Sinister 2, 2015, Ciarán Foy, Scott Derrickson; C. Robert Cargill, James Ransone; Shannyn Sossamon; Robert Daniel Sloan
000318, The Equalizer, 2014, Antoine Fuqua, Richard Wenk; Michael Sloan, Denzel Washington; Marton Csokas; Chloë Grace Moretz
000319, Star Wars: Episode III - Revenge of the Sith, 2005, George Lucas, George Lucas, Hayden Christensen; Natalie Portman; Ewan McGregor
000320, Harry Potter and the Goblet of Fire, 2005, Mike Newell, Steve Kloves; J.K. Rowling, Daniel Radcliffe; Emma Watson; Rupert Grint
000321, This Is England, 2006, Shane Meadows, Shane Meadows, Thomas Turgoose; Stephen Graham; Jo Hartley
000322, The Notebook, 2004, Nick Cassavetes, Jeremy Leven; Jan Sardi, Gena Rowlands; James Garner; Rachel McAdams
000323, The Overnight, 2015, Patrick Brice, Patrick Brice, Adam Scott; Taylor Schilling; Jason Schwartzman
000324, Alien: Paradise Lost, 2017, Ridley Scott, Michael Green; Michael Green, Michael Fassbender; Noomi Rapace
000325, Toy Story 3, 2010, Lee Unkrich, John Lasseter; Andrew Stanton, Tom Hanks; Tim Allen; Joan Cusack
000326, National Lampoon's Vacation, 1983, Harold Ramis, John Hughes; John Hughes, Chevy Chase; Beverly D'Angelo; Imogene Coca
000327, Run All Night, 2015, Jaume Collet-Serra, Brad Ingelsby, Liam Neeson; Ed Harris; Joel Kinnaman
000328, Elysium(I), 2013, Neill Blomkamp, Neill Blomkamp, Matt Damon; Jodie Foster; Sharlto Copley
000329, The Young Messiah, 2016, Cyrus Nowrasteh, Anne Rice; Betsy Giffen Nowrasteh, Sean Bean; David Bradley; Isabelle Adriani
000330, Hot Pursuit, 2015, Anne Fletcher, David Feeney; John Quaintance, Reese Witherspoon; Sofía Vergara; Matthew Del Negro
000331, Neighbors(I), 2014, Nicholas Stoller, Andrew Jay Cohen; Brendan O'Brien, Seth Rogen; Rose Byrne; Zac Efron
000332, Knight of Cups, 2015, Terrence Malick, Terrence Malick, Christian Bale; Jason Clarke; Natalie Portman
000333, Charlie and the Chocolate Factory, 2005, Tim Burton, Roald Dahl; John August, Johnny Depp; Freddie Highmore; David Kelly
000334, About Time(I), 2013, Richard Curtis, Richard Curtis, Domhnall Gleeson; Rachel McAdams; Bill Nighy
000335, Man of Steel, 2013, Zack Snyder, David S. Goyer; David S. Goyer, Henry Cavill; Amy Adams; Michael Shannon
000336, Catch Me If You Can, 2002, Steven Spielberg, Jeff Nathanson; Frank Abagnale Jr., Leonardo DiCaprio; Tom Hanks; Christopher Walken
000337, Donnie Darko, 2001, Richard Kelly, Richard Kelly, Jake Gyllenhaal; Jena Malone; Mary McDonnell
000338, Sin City: A Dame to Kill For, 2014, Frank Miller; Robert Rodriguez, Frank Miller; Frank Miller, Mickey Rourke; Jessica Alba; Josh Brolin
000339, Predestination(I), 2014, Michael Spierig; Peter Spierig, Michael Spierig; Peter Spierig, Ethan Hawke; Sarah Snook; Noah Taylor
000340, Boyhood(I), 2014, Richard Linklater, Richard Linklater, Ellar Coltrane; Patricia Arquette; Ethan Hawke
000341, Cider with Rosie, 2015, Philippa Lowthorpe, Ben Vanstone; Laurie Lee, Timothy Spall; Samantha Morton; Georgie Smith
000342, The Addams Family, 1991, Barry Sonnenfeld, Charles Addams; Caroline Thompson, Anjelica Huston; Raul Julia; Christopher Lloyd
000343, The Hunger Games: Catching Fire, 2013, Francis Lawrence, Simon Beaufoy; Michael Arndt, Jennifer Lawrence; Josh Hutcherson; Liam Hemsworth
000344, Fargo, 1996, Joel Coen; Ethan Coen, Ethan Coen; Joel Coen, William H. Macy; Frances McDormand; Steve Buscemi
000345, Spider-Man, 2002, Sam Raimi, Stan Lee; Steve Ditko, Tobey Maguire; Kirsten Dunst; Willem Dafoe
000346, Les Misérables, 2012, Tom Hooper, William Nicholson; Alain Boublil, Hugh Jackman; Russell Crowe; Anne Hathaway
000347, Enemy, 2013, Denis Villeneuve, José Saramago; Javier Gullón, Jake Gyllenhaal; Mélanie Laurent; Sarah Gadon
000348, Braveheart, 1995, Mel Gibson, Randall Wallace, Mel Gibson; Sophie Marceau; Patrick McGoohan
000349, American Hustle, 2013, David O. Russell, Eric Warren Singer; David O. Russell, Christian Bale; Amy Adams; Bradley Cooper
000350, Hercules(I), 2014, Brett Ratner, Ryan Condal; Evan Spiliotopoulos, Dwayne Johnson; John Hurt; Ian McShane
000351, The Best of Me, 2014, Michael Hoffman, J. Mills Goodloe; Will Fetters, James Marsden; Michelle Monaghan; Luke Bracey
000352, American Psycho, 2000, Mary Harron, Bret Easton Ellis; Mary Harron, Christian Bale; Justin Theroux; Josh Lucas
000353, Into the Wild, 2007, Sean Penn, Sean Penn; Jon Krakauer, Emile Hirsch; Vince Vaughn; Catherine Keener
000354, Inherent Vice, 2014, Paul Thomas Anderson, Paul Thomas Anderson; Thomas Pynchon, Joaquin Phoenix; Josh Brolin; Owen Wilson
000356, The Twilight Saga: Breaking Dawn - Part 2, 2012, Bill Condon, Melissa Rosenberg; Stephenie Meyer, Kristen Stewart; Robert Pattinson; Taylor Lautner
000357, Toy Story, 1995, John Lasseter, John Lasseter; Pete Docter, Tom Hanks; Tim Allen; Don Rickles
000358, 12 Years a Slave, 2013, Steve McQueen, John Ridley; Solomon Northup, Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender
000359, Carol, 2015, Todd Haynes, Patricia Highsmith; Phyllis Nagy, Rooney Mara; Cate Blanchett; Cory Michael Smith
000360, Victoria(II), 2015, Sebastian Schipper, Olivia Neergaard-Holm; Sebastian Schipper, Laia Costa; Frederick Lau; Franz Rogowski
000361, Pitch Perfect 3, 2017, , Kay Cannon, Hailee Steinfeld; Anna Kendrick; Elizabeth Banks
000362, Top Gun, 1986, Tony Scott, Jim Cash; Jack Epps Jr., Tom Cruise; Tim Robbins; Kelly McGillis
000363, Black Hawk Down, 2001, Ridley Scott, Mark Bowden; Ken Nolan, Josh Hartnett; Ewan McGregor; Tom Sizemore
000364, World War Z, 2013, Marc Forster, Matthew Michael Carnahan; Drew Goddard, Brad Pitt; Mireille Enos; Daniella Kertesz
000365, The Book of Life, 2014, Jorge R. Gutiérrez, Jorge R. Gutiérrez; Douglas Langdale, Diego Luna; Zoe Saldana; Channing Tatum
000366, Requiem for a Dream, 2000, Darren Aronofsky, Hubert Selby Jr.; Hubert Selby Jr., Ellen Burstyn; Jared Leto; Jennifer Connelly
000367, The Perks of Being a Wallflower, 2012, Stephen Chbosky, Stephen Chbosky; Stephen Chbosky, Logan Lerman; Emma Watson; Ezra Miller
000368, The Judge, 2014, David Dobkin, Nick Schenk; Bill Dubuque, Robert Downey Jr.; Robert Duvall; Vera Farmiga
000369, Solace(II), 2015, Afonso Poyart, Sean Bailey; Ted Griffin, Abbie Cornish; Colin Farrell; Jeffrey Dean Morgan
000370, Kick-Ass, 2010, Matthew Vaughn, Jane Goldman; Matthew Vaughn, Aaron Taylor-Johnson; Nicolas Cage; Chloë Grace Moretz
000371, The Interview(II), 2014, Evan Goldberg; Seth Rogen, Dan Sterling; Seth Rogen, James Franco; Seth Rogen; Randall Park
000372, The Giver, 2014, Phillip Noyce, Michael Mitnick; Robert B. Weide, Brenton Thwaites; Jeff Bridges; Meryl Streep
000373, Lucy(I), 2014, Luc Besson, Luc Besson, Scarlett Johansson; Morgan Freeman; Min-sik Choi
